image,method,domain,class,hit
2008_000001.jpg,Grad-CAM++,Object Detection,motorcycle,1
2008_000005.jpg,Grad-CAM++,Object Detection,boat,0
2008_000006.jpg,Grad-CAM++,Object Detection,cat,1
2008_000010.jpg,Grad-CAM++,Object Detection,person,0
2008_000011.jpg,Grad-CAM++,Object Detection,car,0
2008_000012.jpg,Grad-CAM++,Object Detection,airplane,1
2008_000013.jpg,Grad-CAM++,Object Detection,car,1
2008_000014.jpg,Grad-CAM++,Object Detection,person,0
2008_000017.jpg,Grad-CAM++,Object Detection,cat,0
2008_000018.jpg,Grad-CAM++,Object Detection,airplane,1
2008_000020.jpg,Grad-CAM++,Object Detection,person,0
2008_000022.jpg,Grad-CAM++,Object Detection,bottle,0
2008_000024.jpg,Grad-CAM++,Object Detection,bird,1
2008_000025.jpg,Grad-CAM++,Object Detection,bed,1
2008_000029.jpg,Grad-CAM++,Object Detection,car,0
2008_000030.jpg,Grad-CAM++,Object Detection,dog,1
2008_000031.jpg,Grad-CAM++,Object Detection,dog,1
2008_000035.jpg,Grad-CAM++,Object Detection,car,1
2008_000038.jpg,Grad-CAM++,Object Detection,person,1
2008_000039.jpg,Grad-CAM++,Object Detection,tv,0
2008_000040.jpg,Grad-CAM++,Object Detection,car,1
2008_000044.jpg,Grad-CAM++,Object Detection,person,1
2008_000046.jpg,Grad-CAM++,Object Detection,person,0
2008_000047.jpg,Grad-CAM++,Object Detection,chair,0
2008_000048.jpg,Grad-CAM++,Object Detection,horse,0
2008_000049.jpg,Grad-CAM++,Object Detection,truck,1
2008_000055.jpg,Grad-CAM++,Object Detection,car,0
2008_000058.jpg,Grad-CAM++,Object Detection,airplane,1
2008_000061.jpg,Grad-CAM++,Object Detection,cat,0
2008_000063.jpg,Grad-CAM++,Object Detection,cat,1
2008_000065.jpg,Grad-CAM++,Object Detection,bottle,1
2008_000068.jpg,Grad-CAM++,Object Detection,cat,0
2008_000069.jpg,Grad-CAM++,Object Detection,tv,0
2008_000071.jpg,Grad-CAM++,Object Detection,person,0
2008_000072.jpg,Grad-CAM++,Object Detection,cow,1
2008_000077.jpg,Grad-CAM++,Object Detection,airplane,0
2008_000079.jpg,Grad-CAM++,Object Detection,train,1
2008_000081.jpg,Grad-CAM++,Object Detection,motorcycle,1
2008_000083.jpg,Grad-CAM++,Object Detection,train,0
2008_000086.jpg,Grad-CAM++,Object Detection,cow,1
2008_000087.jpg,Grad-CAM++,Object Detection,person,0
2008_000088.jpg,Grad-CAM++,Object Detection,train,0
2008_000091.jpg,Grad-CAM++,Object Detection,car,1
2008_000092.jpg,Grad-CAM++,Object Detection,person,1
2008_000094.jpg,Grad-CAM++,Object Detection,bus,1
2008_000098.jpg,Grad-CAM++,Object Detection,couch,1
2008_000100.jpg,Grad-CAM++,Object Detection,cat,1
2008_000101.jpg,Grad-CAM++,Object Detection,car,0
2008_000102.jpg,Grad-CAM++,Object Detection,dog,0
2008_000104.jpg,Grad-CAM++,Object Detection,bird,0
2008_000106.jpg,Grad-CAM++,Object Detection,dog,1
2008_000108.jpg,Grad-CAM++,Object Detection,bird,1
2008_000110.jpg,Grad-CAM++,Object Detection,dog,0
2008_000111.jpg,Grad-CAM++,Object Detection,bench,0
2008_000113.jpg,Grad-CAM++,Object Detection,person,1
2008_000117.jpg,Grad-CAM++,Object Detection,person,1
2008_000121.jpg,Grad-CAM++,Object Detection,airplane,1
2008_000122.jpg,Grad-CAM++,Object Detection,bicycle,0
2008_000124.jpg,Grad-CAM++,Object Detection,person,0
2008_000125.jpg,Grad-CAM++,Object Detection,chair,1
2008_000126.jpg,Grad-CAM++,Object Detection,train,1
2008_000127.jpg,Grad-CAM++,Object Detection,dog,0
2008_000129.jpg,Grad-CAM++,Object Detection,horse,1
2008_000130.jpg,Grad-CAM++,Object Detection,bicycle,1
2008_000135.jpg,Grad-CAM++,Object Detection,dog,1
2008_000136.jpg,Grad-CAM++,Object Detection,airplane,1
2008_000137.jpg,Grad-CAM++,Object Detection,boat,0
2008_000139.jpg,Grad-CAM++,Object Detection,person,1
2008_000146.jpg,Grad-CAM++,Object Detection,boat,0
2008_000150.jpg,Grad-CAM++,Object Detection,bowl,0
2008_000152.jpg,Grad-CAM++,Object Detection,mouse,0
2008_000153.jpg,Grad-CAM++,Object Detection,person,0
2008_000155.jpg,Grad-CAM++,Object Detection,person,0
2008_000156.jpg,Grad-CAM++,Object Detection,laptop,0
2008_000157.jpg,Grad-CAM++,Object Detection,bird,1
2008_000158.jpg,Grad-CAM++,Object Detection,boat,1
2008_000159.jpg,Grad-CAM++,Object Detection,boat,1
2008_000160.jpg,Grad-CAM++,Object Detection,dog,0
2008_000161.jpg,Grad-CAM++,Object Detection,dining table,1
2008_000164.jpg,Grad-CAM++,Object Detection,car,0
2008_000165.jpg,Grad-CAM++,Object Detection,kite,0
2008_000166.jpg,Grad-CAM++,Object Detection,airplane,0
2008_000167.jpg,Grad-CAM++,Object Detection,bicycle,1
2008_000168.jpg,Grad-CAM++,Object Detection,car,1
2008_000169.jpg,Grad-CAM++,Object Detection,bench,0
2008_000170.jpg,Grad-CAM++,Object Detection,person,1
2008_000171.jpg,Grad-CAM++,Object Detection,car,1
2008_000172.jpg,Grad-CAM++,Object Detection,person,1
2008_000173.jpg,Grad-CAM++,Object Detection,tv,0
2008_000175.jpg,Grad-CAM++,Object Detection,bird,1
2008_000178.jpg,Grad-CAM++,Object Detection,airplane,1
2008_000179.jpg,Grad-CAM++,Object Detection,car,0
2008_000180.jpg,Grad-CAM++,Object Detection,horse,1
2008_000184.jpg,Grad-CAM++,Object Detection,cat,0
2008_000186.jpg,Grad-CAM++,Object Detection,car,1
2008_000198.jpg,Grad-CAM++,Object Detection,airplane,1
2008_000200.jpg,Grad-CAM++,Object Detection,person,0
2008_000201.jpg,Grad-CAM++,Object Detection,person,0
2008_000205.jpg,Grad-CAM++,Object Detection,bird,1
2008_000206.jpg,Grad-CAM++,Object Detection,bottle,0
2008_000208.jpg,Grad-CAM++,Object Detection,bird,1
2008_000209.jpg,Grad-CAM++,Object Detection,person,0
2008_000210.jpg,Grad-CAM++,Object Detection,apple,0
2008_000211.jpg,Grad-CAM++,Object Detection,bus,1
2008_000212.jpg,Grad-CAM++,Object Detection,tv,0
2008_000214.jpg,Grad-CAM++,Object Detection,truck,0
2008_000216.jpg,Grad-CAM++,Object Detection,person,0
2008_000218.jpg,Grad-CAM++,Object Detection,person,1
2008_000220.jpg,Grad-CAM++,Object Detection,person,1
2008_000221.jpg,Grad-CAM++,Object Detection,person,1
2008_000224.jpg,Grad-CAM++,Object Detection,wine glass,0
2008_000225.jpg,Grad-CAM++,Object Detection,wine glass,0
2008_000228.jpg,Grad-CAM++,Object Detection,person,1
2008_000230.jpg,Grad-CAM++,Object Detection,boat,0
2008_000231.jpg,Grad-CAM++,Object Detection,person,1
2008_000232.jpg,Grad-CAM++,Object Detection,horse,1
2008_000240.jpg,Grad-CAM++,Object Detection,horse,1
2008_000241.jpg,Grad-CAM++,Object Detection,dog,1
2008_000242.jpg,Grad-CAM++,Object Detection,person,1
2008_000245.jpg,Grad-CAM++,Object Detection,tv,0
2008_000247.jpg,Grad-CAM++,Object Detection,person,0
2008_000248.jpg,Grad-CAM++,Object Detection,person,0
2008_000249.jpg,Grad-CAM++,Object Detection,person,1
2008_000250.jpg,Grad-CAM++,Object Detection,person,1
2008_000256.jpg,Grad-CAM++,Object Detection,tie,0
2008_000258.jpg,Grad-CAM++,Object Detection,person,1
2008_000263.jpg,Grad-CAM++,Object Detection,person,1
2008_000265.jpg,Grad-CAM++,Object Detection,person,1
2008_000267.jpg,Grad-CAM++,Object Detection,person,1
2008_000269.jpg,Grad-CAM++,Object Detection,person,0
2008_000276.jpg,Grad-CAM++,Object Detection,suitcase,0
2008_000279.jpg,Grad-CAM++,Object Detection,person,0
2008_000280.jpg,Grad-CAM++,Object Detection,person,0
2008_000282.jpg,Grad-CAM++,Object Detection,cat,1
2008_000285.jpg,Grad-CAM++,Object Detection,skateboard,0
2008_000286.jpg,Grad-CAM++,Object Detection,truck,0
2008_000288.jpg,Grad-CAM++,Object Detection,person,0
2008_000292.jpg,Grad-CAM++,Object Detection,chair,0
2008_000293.jpg,Grad-CAM++,Object Detection,dog,1
2008_000294.jpg,Grad-CAM++,Object Detection,refrigerator,0
2008_000295.jpg,Grad-CAM++,Object Detection,person,1
2008_000296.jpg,Grad-CAM++,Object Detection,cat,1
2008_000299.jpg,Grad-CAM++,Object Detection,person,0
2008_000300.jpg,Grad-CAM++,Object Detection,train,1
2008_000301.jpg,Grad-CAM++,Object Detection,person,1
2008_000302.jpg,Grad-CAM++,Object Detection,motorcycle,0
2008_000303.jpg,Grad-CAM++,Object Detection,person,0
2008_000308.jpg,Grad-CAM++,Object Detection,bottle,0
2008_000310.jpg,Grad-CAM++,Object Detection,dog,1
2008_000314.jpg,Grad-CAM++,Object Detection,person,1
2008_000317.jpg,Grad-CAM++,Object Detection,person,1
2008_000319.jpg,Grad-CAM++,Object Detection,person,1
2008_000322.jpg,Grad-CAM++,Object Detection,person,0
2008_000323.jpg,Grad-CAM++,Object Detection,person,0
2008_000324.jpg,Grad-CAM++,Object Detection,person,1
2008_000325.jpg,Grad-CAM++,Object Detection,person,1
2008_000326.jpg,Grad-CAM++,Object Detection,chair,0
2008_000329.jpg,Grad-CAM++,Object Detection,person,1
2008_000331.jpg,Grad-CAM++,Object Detection,person,0
2008_000332.jpg,Grad-CAM++,Object Detection,boat,0
2008_000333.jpg,Grad-CAM++,Object Detection,person,0
2008_000334.jpg,Grad-CAM++,Object Detection,person,0
2008_000337.jpg,Grad-CAM++,Object Detection,airplane,1
2008_000341.jpg,Grad-CAM++,Object Detection,car,0
2008_000344.jpg,Grad-CAM++,Object Detection,sheep,0
2008_000347.jpg,Grad-CAM++,Object Detection,dog,1
2008_000349.jpg,Grad-CAM++,Object Detection,person,0
2008_000351.jpg,Grad-CAM++,Object Detection,person,0
2008_000352.jpg,Grad-CAM++,Object Detection,person,0
2008_000353.jpg,Grad-CAM++,Object Detection,person,0
2008_000355.jpg,Grad-CAM++,Object Detection,bowl,0
2008_000357.jpg,Grad-CAM++,Object Detection,person,1
2008_000360.jpg,Grad-CAM++,Object Detection,cat,1
2008_000362.jpg,Grad-CAM++,Object Detection,person,1
2008_000363.jpg,Grad-CAM++,Object Detection,person,1
2008_000366.jpg,Grad-CAM++,Object Detection,person,0
2008_000368.jpg,Grad-CAM++,Object Detection,car,0
2008_000369.jpg,Grad-CAM++,Object Detection,bird,1
2008_000370.jpg,Grad-CAM++,Object Detection,cat,1
2008_000372.jpg,Grad-CAM++,Object Detection,person,1
2008_000374.jpg,Grad-CAM++,Object Detection,person,1
2008_000375.jpg,Grad-CAM++,Object Detection,person,0
2008_000377.jpg,Grad-CAM++,Object Detection,person,1
2008_000379.jpg,Grad-CAM++,Object Detection,car,1
2008_000384.jpg,Grad-CAM++,Object Detection,person,0
2008_000385.jpg,Grad-CAM++,Object Detection,person,0
2008_000386.jpg,Grad-CAM++,Object Detection,couch,1
2008_000387.jpg,Grad-CAM++,Object Detection,person,0
2008_000388.jpg,Grad-CAM++,Object Detection,person,1
2008_000389.jpg,Grad-CAM++,Object Detection,person,0
2008_000390.jpg,Grad-CAM++,Object Detection,person,0
2008_000395.jpg,Grad-CAM++,Object Detection,person,0
2008_000396.jpg,Grad-CAM++,Object Detection,person,1
2008_000402.jpg,Grad-CAM++,Object Detection,person,0
2008_000404.jpg,Grad-CAM++,Object Detection,horse,1
2008_000409.jpg,Grad-CAM++,Object Detection,person,0
2008_000410.jpg,Grad-CAM++,Object Detection,person,0
2008_000411.jpg,Grad-CAM++,Object Detection,person,0
2008_000412.jpg,Grad-CAM++,Object Detection,car,0
2008_000417.jpg,Grad-CAM++,Object Detection,motorcycle,1
2008_000420.jpg,Grad-CAM++,Object Detection,person,1
2008_000425.jpg,Grad-CAM++,Object Detection,bench,0
2008_000427.jpg,Grad-CAM++,Object Detection,person,0
2008_000429.jpg,Grad-CAM++,Object Detection,person,0
2008_000430.jpg,Grad-CAM++,Object Detection,person,0
2008_000431.jpg,Grad-CAM++,Object Detection,person,1
2008_000433.jpg,Grad-CAM++,Object Detection,person,1
2008_000434.jpg,Grad-CAM++,Object Detection,horse,1
2008_000438.jpg,Grad-CAM++,Object Detection,person,0
2008_000439.jpg,Grad-CAM++,Object Detection,person,0
2008_000440.jpg,Grad-CAM++,Object Detection,person,1
2008_000441.jpg,Grad-CAM++,Object Detection,person,1
2008_000444.jpg,Grad-CAM++,Object Detection,person,1
2008_000449.jpg,Grad-CAM++,Object Detection,person,0
2008_000450.jpg,Grad-CAM++,Object Detection,person,1
2008_000451.jpg,Grad-CAM++,Object Detection,person,1
2008_000453.jpg,Grad-CAM++,Object Detection,person,0
2008_000454.jpg,Grad-CAM++,Object Detection,person,0
2008_000456.jpg,Grad-CAM++,Object Detection,person,1
2008_000458.jpg,Grad-CAM++,Object Detection,person,1
2008_000459.jpg,Grad-CAM++,Object Detection,person,1
2008_000460.jpg,Grad-CAM++,Object Detection,bird,1
2008_000462.jpg,Grad-CAM++,Object Detection,person,0
2008_000463.jpg,Grad-CAM++,Object Detection,surfboard,1
2008_000467.jpg,Grad-CAM++,Object Detection,person,1
2008_000468.jpg,Grad-CAM++,Object Detection,tv,1
2008_000476.jpg,Grad-CAM++,Object Detection,couch,1
2008_000477.jpg,Grad-CAM++,Object Detection,person,1
2008_000478.jpg,Grad-CAM++,Object Detection,dog,1
2008_000479.jpg,Grad-CAM++,Object Detection,person,0
2008_000482.jpg,Grad-CAM++,Object Detection,dog,0
2008_000483.jpg,Grad-CAM++,Object Detection,person,1
2008_000484.jpg,Grad-CAM++,Object Detection,car,0
2008_000485.jpg,Grad-CAM++,Object Detection,dog,1
2008_000486.jpg,Grad-CAM++,Object Detection,person,0
2008_000487.jpg,Grad-CAM++,Object Detection,dog,1
2008_000490.jpg,Grad-CAM++,Object Detection,person,0
2008_000494.jpg,Grad-CAM++,Object Detection,person,0
2008_000497.jpg,Grad-CAM++,Object Detection,person,0
2008_000500.jpg,Grad-CAM++,Object Detection,person,0
2008_000503.jpg,Grad-CAM++,Object Detection,bird,1
2008_000504.jpg,Grad-CAM++,Object Detection,motorcycle,1
2008_000506.jpg,Grad-CAM++,Object Detection,bird,0
2008_000507.jpg,Grad-CAM++,Object Detection,person,1
2008_000508.jpg,Grad-CAM++,Object Detection,person,0
2008_000509.jpg,Grad-CAM++,Object Detection,person,0
2008_000513.jpg,Grad-CAM++,Object Detection,boat,0
2008_000517.jpg,Grad-CAM++,Object Detection,person,1
2008_000518.jpg,Grad-CAM++,Object Detection,potted plant,0
2008_000520.jpg,Grad-CAM++,Object Detection,donut,0
2008_000521.jpg,Grad-CAM++,Object Detection,person,1
2008_000523.jpg,Grad-CAM++,Object Detection,airplane,0
2008_000524.jpg,Grad-CAM++,Object Detection,person,1
2008_000525.jpg,Grad-CAM++,Object Detection,person,0
2008_000526.jpg,Grad-CAM++,Object Detection,person,1
2008_000528.jpg,Grad-CAM++,Object Detection,person,1
2008_000529.jpg,Grad-CAM++,Object Detection,bird,1
2008_000530.jpg,Grad-CAM++,Object Detection,person,0
2008_000534.jpg,Grad-CAM++,Object Detection,person,1
2008_000537.jpg,Grad-CAM++,Object Detection,person,1
2008_000538.jpg,Grad-CAM++,Object Detection,person,1
2008_000539.jpg,Grad-CAM++,Object Detection,couch,0
2008_000542.jpg,Grad-CAM++,Object Detection,car,1
2008_000543.jpg,Grad-CAM++,Object Detection,person,0
2008_000546.jpg,Grad-CAM++,Object Detection,person,0
2008_000549.jpg,Grad-CAM++,Object Detection,cat,1
2008_000550.jpg,Grad-CAM++,Object Detection,person,0
2008_000551.jpg,Grad-CAM++,Object Detection,person,0
