Model,Task,Method,Image,AUC_Del,AUC_Pres,Fidelity
ResNet50,Classification,GradCAM,cerf_foret.jpeg,0.03238395228981972,0.3660609722137451,1.3336770199239254
ResNet50,Classification,GradCAMPP,cerf_foret.jpeg,0.06059521436691284,0.32649487257003784,1.265899658203125
ResNet50,Classification,LIME,cerf_foret.jpeg,0.029149221256375313,0.4514886140823364,1.4223393928259611
YOLO,Detection,YOLO_GradCAM,cerf_foret.jpeg,0.5001165866851807,0.500078558921814,0.9999619722366333
YOLO,Detection,YOLO_GradCAMPP,cerf_foret.jpeg,0.5000979900360107,0.5000625252723694,0.9999645352363586
ResNet50,Classification,GradCAM,chat_roux.jpg,0.12971800565719604,0.3745732307434082,1.2448552250862122
ResNet50,Classification,GradCAMPP,chat_roux.jpg,0.1323489248752594,0.36940228939056396,1.2370533645153046
ResNet50,Classification,LIME,chat_roux.jpg,0.24164791405200958,0.221810981631279,0.9801630675792694
YOLO,Detection,YOLO_GradCAM,chat_roux.jpg,0.6780670285224915,0.659045934677124,0.9809789061546326
YOLO,Detection,YOLO_GradCAMPP,chat_roux.jpg,0.6856967806816101,0.6935284733772278,1.0078316926956177
ResNet50,Classification,GradCAM,classic-car-photos.jpg,0.12522917985916138,0.7652756571769714,1.64004647731781
ResNet50,Classification,GradCAMPP,classic-car-photos.jpg,0.12622682750225067,0.7632914781570435,1.6370646506547928
ResNet50,Classification,LIME,classic-car-photos.jpg,0.2787324786186218,0.6989219188690186,1.4201894402503967
YOLO,Detection,YOLO_GradCAM,classic-car-photos.jpg,0.5024506449699402,0.5030118823051453,1.000561237335205
YOLO,Detection,YOLO_GradCAMPP,classic-car-photos.jpg,0.5023714303970337,0.5081068873405457,1.005735456943512
ResNet50,Classification,GradCAM,classic_car.jpg,0.12522917985916138,0.7652756571769714,1.64004647731781
ResNet50,Classification,GradCAMPP,classic_car.jpg,0.12622682750225067,0.7632914781570435,1.6370646506547928
ResNet50,Classification,LIME,classic_car.jpg,0.23802468180656433,0.8451111316680908,1.6070864498615265
YOLO,Detection,YOLO_GradCAM,classic_car.jpg,0.5024506449699402,0.5030118823051453,1.000561237335205
YOLO,Detection,YOLO_GradCAMPP,classic_car.jpg,0.5023714303970337,0.5081068873405457,1.005735456943512
ResNet50,Classification,GradCAM,elephant.jpg,0.6304280757904053,0.5337767004966736,0.9033486247062683
ResNet50,Classification,GradCAMPP,elephant.jpg,0.6271954774856567,0.5405802726745605,0.9133847951889038
ResNet50,Classification,LIME,elephant.jpg,0.6375347375869751,0.5108003616333008,0.8732656240463257
YOLO,Detection,YOLO_GradCAM,elephant.jpg,0.6517031192779541,0.6377807855606079,0.9860776662826538
YOLO,Detection,YOLO_GradCAMPP,elephant.jpg,0.6578106880187988,0.604973554611206,0.9471628665924072
ResNet50,Classification,GradCAM,ours.jpg,0.9334151148796082,0.9964404702186584,1.0630253553390503
ResNet50,Classification,GradCAMPP,ours.jpg,0.9339593648910522,0.9964989423751831,1.0625395774841309
ResNet50,Classification,LIME,ours.jpg,0.9339970350265503,0.9947096705436707,1.0607126355171204
YOLO,Detection,YOLO_GradCAM,ours.jpg,0.5000262260437012,0.5000200271606445,0.9999938011169434
YOLO,Detection,YOLO_GradCAMPP,ours.jpg,0.5000109076499939,0.5000422596931458,1.0000313520431519
